PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;ksi-inr;A secure cloud service offering will respond to incidents according to FedRAMP requirements and cloud service provider policies;Incident Response;;;azure;;FAIL;Defender plan Defender for SQL Server VMs from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/SqlServerVirtualMachines;defender_ensure_defender_for_sql_servers_is_on;False;Defender plan SQL Server VMs;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;ksi-inr;A secure cloud service offering will respond to incidents according to FedRAMP requirements and cloud service provider policies;Incident Response;;;azure;;FAIL;Defender plan Defender for Storage Accounts from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/StorageAccounts;defender_ensure_defender_for_storage_is_on;False;Defender plan Storage Accounts;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;ksi-inr;A secure cloud service offering will respond to incidents according to FedRAMP requirements and cloud service provider policies;Incident Response;;;azure;;FAIL;No IoT Security Solutions found in the subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;defender_ensure_iot_hub_defender_is_on;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;ksi-inr;A secure cloud service offering will respond to incidents according to FedRAMP requirements and cloud service provider policies;Incident Response;;;azure;;PASS;Microsoft Defender for Endpoint integration is enabled for subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/settings/WDATP;defender_ensure_wdatp_is_enabled;False;WDATP;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;e1a014d8-2ca2-4275-8220-414092cd8ed6;global;2026-06-27 09:46:44.662891;ksi-iam;A secure cloud service offering will protect user data, control access, and apply zero trust principles;Identity and Access Management;;;azure;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;Conditional Access Policy;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;e1a014d8-2ca2-4275-8220-414092cd8ed6;global;2026-06-27 09:46:44.662891;ksi-iam;A secure cloud service offering will protect user data, control access, and apply zero trust principles;Identity and Access Management;;;azure;;PASS;There are 0 global administrators.;9b0fb422-f474-43cc-9cd7-5e92ffca10b6;entra_global_admin_in_less_than_five_users;False;Global Administrator;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;e1a014d8-2ca2-4275-8220-414092cd8ed6;global;2026-06-27 09:46:44.662891;ksi-iam;A secure cloud service offering will protect user data, control access, and apply zero trust principles;Identity and Access Management;;;azure;;FAIL;Non-privileged users are able to create security groups via the Access Panel and the Azure administration portal.;authorizationPolicy;entra_policy_default_users_cannot_create_security_groups;False;Authorization Policy;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;e1a014d8-2ca2-4275-8220-414092cd8ed6;global;2026-06-27 09:46:44.662891;ksi-iam;A secure cloud service offering will protect user data, control access, and apply zero trust principles;Identity and Access Management;;;azure;;FAIL;App creation is not disabled for non-admin users.;authorizationPolicy;entra_policy_ensure_default_user_cannot_create_apps;False;Authorization Policy;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;e1a014d8-2ca2-4275-8220-414092cd8ed6;global;2026-06-27 09:46:44.662891;ksi-iam;A secure cloud service offering will protect user data, control access, and apply zero trust principles;Identity and Access Management;;;azure;;FAIL;Tenants creation is not disabled for non-admin users.;authorizationPolicy;entra_policy_ensure_default_user_cannot_create_tenants;False;Authorization Policy;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
azure;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;e1a014d8-2ca2-4275-8220-414092cd8ed6;global;2026-06-27 09:46:44.662891;ksi-iam;A secure cloud service offering will protect user data, control access, and apply zero trust principles;Identity and Access Management;;;azure;;FAIL;Guest invitations are not restricted to users with specific administrative roles only.;authorizationPolicy;entra_policy_guest_invite_only_for_admin_roles;False;Authorization Policy;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
