PROVIDER;DESCRIPTION;SUBSCRIPTIONID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Servers from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/VirtualMachines;defender_ensure_defender_for_server_is_on;False;Defender plan Servers;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for SQL Server VMs from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/SqlServerVirtualMachines;defender_ensure_defender_for_sql_servers_is_on;False;Defender plan SQL Server VMs;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.5;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de almacenamiento en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Storage Accounts from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/StorageAccounts;defender_ensure_defender_for_storage_is_on;False;Defender plan Storage Accounts;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;No IoT Security Solutions found in the subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;defender_ensure_iot_hub_defender_is_on;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;PASS;Microsoft Defender for Cloud Apps is enabled for subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/settings/MCAS;defender_ensure_mcas_is_enabled;False;MCAS;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.mon.3.r3.az.de.2;Ciberamenazas avanzadas;op.mon.3.r3 ;operacional;monitorización del sistema;Habilitar la protección de amenazas avanzadas para la detección de ciberamenazas en la nube.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Microsoft Defender for Endpoint integration is enabled for subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/settings/WDATP;defender_ensure_wdatp_is_enabled;False;WDATP;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.5.r4.az.eid.1;Certificados en dispositivo físico;op.acc.5.r4;operacional;control de acceso;Habilitación de autenticación MFA para usuarios externos;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;Conditional Access Policy;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.6.az.eid.1;Mecanismo de autenticación (usuarios de la organización);op.acc.6;operacional;control de acceso;El acceso del usuario será gestionado desde Microsoft Entra;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;Conditional Access Policy;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.6.r4.az.mfa.1;Certificados en dispositivo físico;op.acc.6.r4;operacional;control de acceso;Habilitación de autenticación MFA para usuarios de la organización;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;Conditional Access Policy;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.1.az.r1.eid.1;Identificacion Avanzada;op.acc.1.r1;operacional;control de acceso;La asignación del usuario deberá realizarse de manera única, singularizando a la persona asociada a cada identificador en Microsoft Entra;alto;refuerzo;trazabilidad,autenticidad;automático;;PASS;There are 0 global administrators.;9b0fb422-f474-43cc-9cd7-5e92ffca10b6;entra_global_admin_in_less_than_five_users;False;Global Administrator;ENS;ENS RD 311/2022 - Categoría Alta
